Website section,Product name,SKU,Manufacturer,Issue type,Notes
Mufflers and Resonators,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in hotdog",SSMBM840PHD,MPI Automotive,Missing RRP,
Mufflers and Resonators,"Mustang 5.0L V8 Dark Horse S650, 3in Dual Rear Mufflers With 5in Quad Tips & Electric Bimodals",SSMBM678MF-BM,MPI Automotive,Missing RRP,
Mufflers and Resonators,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in Center Muffler",SSMBM840MF,MPI Automotive,Missing RRP,
Mufflers and Resonators,"Silverado 2500 HD LTZ, 6.6L TD V8, 2018-2025, 4in Muffler",SSMBM833MF,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"5in (127mm) x 2.0mm Wall, 1.45m Length Aluminised Tube",1ML-AT127-2.0,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"7in (177.8mm) x 1.6mm Wall, 1.45m Length Aluminised Tube",1ML-AT177-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"7in (177.8mm) x 1.6mm Wall, 2.9m Length Aluminised Tube",3ML-AT177-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"6in (152.4mm) x 1.6mm Wall, 1.45m Length Aluminised Tube",1ML-AT152-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"6in (152.4mm) x 1.6mm Wall, 2.9m Length Aluminised Tube",3ML-AT152-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"5in (127mm) x 1.6mm Wall, 2.9m Length Aluminised Tube",3ML-AT127-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"1 5/8in (41.3mm) x 1.6mm Wall, 2.9m Length Aluminized Tube.",3ML-AT41-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"1 5/8in (41.3mm) x 1.6mm Wall, 1.45m Length Aluminized Tube.",1ML-AT41-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"1 3/4in (44.5mm) x 1.6mm Wall, 2.9m Length Aluminized Tube.",3ML-AT44-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"1 3/4in (44.5mm) x 1.6mm Wall, 1.45m Length Aluminized Tube.",1ML-AT44-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"2 1/4in (57.15mm) x 2mm Wall, 2.9m Length Aluminized Tube.",3ML-AT57-2.0,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"2 1/4in (57.15mm) x 2mm Wall, 1.45m Length Aluminized Tube.",1ML-AT57-2.0,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"2in (50.8mm) x 1.6mm Wall, 2.9m Length Aluminized Tube.",3ML-AT51-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"2in (50.8mm) x 1.6mm Wall, 1.45m Length Aluminized Tube.",1ML-AT51-1.6,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,BA - FG XR6 Turbo Falcon 4in into 3in Dual race pipes,SSMBE510,MPI Automotive,Missing RRP,
Extractors and Headers,DISCONTINUED VE V8 6.0L HSV & SS 3in Cat Assembly (Pair) to Suit Hurricane Headers (FX-506) & Manta,SSMBC475-HUR,MPI Automotive,Missing RRP,
Exhaust Pipes and Tips,"3"" Round Decal - Yellow / Black KC Logo",3-round-decal-yellow-black-kc-logo,Radius Fabrications,Missing RRP,
Exhaust Pipes and Tips,Super ID 3 3 8 3 1 2 W 20MM Stainless,super-id-3-3-8-3-1-2-w-20mm-stainless,SWD,Missing RRP,
Exhaust Pipes and Tips,in 63MM2 1 2 OUT 140MM5 1 2 L 200MM8 Stainless VTDA63,in-63mm2-1-2-out-140mm5-1-2-l-200mm8-stainless-vtda63,SWD,Missing RRP,
Exhaust Pipes and Tips,90 OD 57MM2 1 4 304 Stainless,90-od-57mm2-1-4-304-stainless,SWD,Missing RRP,
Exhaust Pipes and Tips,Mini ALL Except Cooper S Gasket DSF006,mini-all-except-cooper-s-gasket-dsf006,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Towbar Wiring Direct FIT to Suit Holden Rodeo 01 2003 01 2008,tag-towbar-wiring-direct-fit-to-suit-holden-rodeo-01-2003-01-2008,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Towbar Wiring Direct FIT to Suit Honda CR V 02 2007 10 2012,tag-towbar-wiring-direct-fit-to-suit-honda-cr-v-02-2007-10-2012,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Towbar Wiring Direct FIT ECU to Suit Hyundai IX35 02 2010 12 2015 IX35 01 20,tag-towbar-wiring-direct-fit-ecu-to-suit-hyundai-ix35-02-2010-12-2015-ix35-01-20,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Towbar Wiring Direct FIT ECU to Suit Toyota Corolla 01 2007 2014,tag-towbar-wiring-direct-fit-ecu-to-suit-toyota-corolla-01-2007-2014,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Towbar Wiring Direct FIT to Suit Nissan X Trail 06 2001 2007,tag-towbar-wiring-direct-fit-to-suit-nissan-x-trail-06-2001-2007,SWD,Missing RRP,
Exhaust Pipes and Tips,11 X 6 Oval 18 Long 3 Offset Centre Megaflow NO Spigots,11-x-6-oval-18-long-3-offset-centre-megaflow-no-spigots,SWD,Missing RRP,
Exhaust Pipes and Tips,8 X 4 Oval 14 Long 2 1 4 Offset Offset Megaflow NO Spigots,8-x-4-oval-14-long-2-1-4-offset-offset-megaflow-no-spigots,SWD,Missing RRP,
Exhaust Pipes and Tips,8 X 4 Oval 14 Long 2 1 2 Offset Offset Megaflow,8-x-4-oval-14-long-2-1-2-offset-offset-megaflow,SWD,Missing RRP,
Exhaust Pipes and Tips,8 X 4 Oval 14 Long 2 1 2 Offset Centre Megaflow,8-x-4-oval-14-long-2-1-2-offset-centre-megaflow,SWD,Missing RRP,
Exhaust Pipes and Tips,6 Round 12 Long 1 1 2 Offset Offset Left Hand Rotation,6-round-12-long-1-1-2-offset-offset-left-hand-rotation,SWD,Missing RRP,
Exhaust Pipes and Tips,6 Round 18 Long 1 3 4 Offset Offset Right Hand Rotation,6-round-18-long-1-3-4-offset-offset-right-hand-rotation,SWD,Missing RRP,
Exhaust Pipes and Tips,6 Round 14 Long 2 1 2 Centre Centre Chambered,6-round-14-long-2-1-2-centre-centre-chambered,SWD,Missing RRP,
Exhaust Pipes and Tips,6 Round 16 Long 2 Offset Offset Right Hand Rotation,6-round-16-long-2-offset-offset-right-hand-rotation,SWD,Missing RRP,
Exhaust Pipes and Tips,6 Round 14 Long 3 Centre Centre Chambered,6-round-14-long-3-centre-centre-chambered,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Pulse 12 PIN Flat Plug,tag-pulse-12-pin-flat-plug,SWD,Missing RRP,
Exhaust Pipes and Tips,TAG Pulse Complete 7 PIN Small Round Socket Wiring KIT,tag-pulse-complete-7-pin-small-round-socket-wiring-kit,SWD,Missing RRP,
Exhaust Pipes and Tips,7 PIN Small Round Metal Trailer Plug,7-pin-small-round-metal-trailer-plug,SWD,Missing RRP,
