approvalStatus,priority,matchType,targetSupplier,targetSupplierCode,targetCategory,targetSku,targetTitle,targetSlug,targetRrp,donorSupplier,donorSku,donorTitle,donorSlug,donorImage,riskNote,recommendedAction,approvedBy,approvedDate,notes
pending,P1,same-supplier-category-title,MPI Automotive,mpi,mufflers-resonators,SSMBM635MF,FORD MUSTANG V8 3in DUAL CONNECTING CENTRE WITH HOTDOGS.,ssmbm635mf-ford-mustang-v8-3in-dual-connecting-centre-with-hotdogs,885.50,MPI Automotive,SSMBM635PHD,FORD MUSTANG V8 3in DUAL CONNECTING CENTRE WITH HOTDOGS.,ssmbm635phd-ford-mustang-v8-3in-dual-connecting-centre-with-hotdogs,/media/parts/mpi/ssmbm635phd-ford-mustang-v8-3in-dual-connecting-centre-with-hotdogs-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,mufflers-resonators,SSMBM449MF-HARROP,Holden Commodore VT - VZ Sedan 3in Dual Rear Muffler,ssmbm449mf-harrop-holden-commodore-vt-vz-sedan-3in-dual-rear-muffler,1124.24,MPI Automotive,SSMBM449MF,Holden Commodore VT - VZ Sedan 3in Dual Rear Muffler,ssmbm449mf-holden-commodore-vt-vz-sedan-3in-dual-rear-muffler,/media/parts/mpi/ssmbm449mf-holden-commodore-vt-vz-sedan-3in-dual-rear-muffler-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,SSMBE841,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in Rear Over Axle Connection Pipe",ssmbe841-toyota-gdj251r-prado-2-8l-td-2024-on-3in-rear-over-axle-connection-pipe,348.92,MPI Automotive,SSMBE805,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in Rear Over Axle Connection Pipe",ssmbe805-toyota-gdj251r-prado-2-8l-td-2024-on-3in-rear-over-axle-connection-pipe,/media/parts/mpi/ssmbe805-toyota-gdj251r-prado-2-8l-td-2024-on-3in-rear-over-axle-connection-pipe-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,mufflers-resonators,SSMBM840WOM,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in Center Without Muffler",ssmbm840wom-toyota-gdj251r-prado-2-8l-td-2024-on-3in-center-without-muffler,313.36,MPI Automotive,SSMBM804WOM,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in Center Without Muffler",ssmbm804wom-toyota-gdj251r-prado-2-8l-td-2024-on-3in-center-without-muffler,/media/parts/mpi/ssmbm804wom-toyota-gdj251r-prado-2-8l-td-2024-on-3in-center-without-muffler-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,SSMBE839,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in DPF Back Connection Pipe",ssmbe839-toyota-gdj251r-prado-2-8l-td-2024-on-3in-dpf-back-connection-pipe,297.92,MPI Automotive,SSMBE803,"Toyota GDJ251R Prado, 2.8L TD 2024 on, 3in DPF Back Connection Pipe",ssmbe803-toyota-gdj251r-prado-2-8l-td-2024-on-3in-dpf-back-connection-pipe,/media/parts/mpi/ssmbe803-toyota-gdj251r-prado-2-8l-td-2024-on-3in-dpf-back-connection-pipe-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,SSMBE590-HPC-S,Holden Colorado Ute Turbo Diesel AUG 2010 APPROX to Current 3in Dump Pipe From Turbo Face,ssmbe590-hpc-s-holden-colorado-ute-turbo-diesel-aug-2010-approx-to-current-3in-dump-pipe-from-turbo-face,704.65,MPI Automotive,SSMBE590-HPC,Holden Colorado Ute Turbo Diesel AUG 2010 APPROX to Current 3in Dump Pipe From Turbo Face,ssmbe590-hpc-holden-colorado-ute-turbo-diesel-aug-2010-approx-to-current-3in-dump-pipe-from-turbo-face,/media/parts/mpi/ssmbe590-hpc-holden-colorado-ute-turbo-diesel-aug-2010-approx-to-current-3in-dump-pipe-from-turbo-face-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,MBC630,Patrol Y62 5.6L V8 2 1/2in High Flow Cats,mbc630-patrol-y62-5-6l-v8-2-1-2in-high-flow-cats,1236.81,MPI Automotive,SSMBC630,Patrol Y62 5.6L V8 2 1/2in High Flow Cats,ssmbc630-patrol-y62-5-6l-v8-2-1-2in-high-flow-cats,/media/parts/mpi/ssmbc630-patrol-y62-5-6l-v8-2-1-2in-high-flow-cats-remote-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,SSMBE553C,Nissan Navara D22 2.5L Turbo Diesel 3in Dump Pipe.,ssmbe553c-nissan-navara-d22-2-5l-turbo-diesel-3in-dump-pipe,750.49,MPI Automotive,SSMBE553,Nissan Navara D22 2.5L Turbo Diesel 3in Dump Pipe.,ssmbe553-nissan-navara-d22-2-5l-turbo-diesel-3in-dump-pipe,/media/parts/mpi/ssmbe553-nissan-navara-d22-2-5l-turbo-diesel-3in-dump-pipe-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,exhaust-pipes-tips,SSMBT710,Toyota Landcruiser 300 Series V6 4in Tail Pipe,ssmbt710-toyota-landcruiser-300-series-v6-4in-tail-pipe,1218.53,MPI Automotive,SSMBT709,Toyota Landcruiser 300 Series V6 4in Tail Pipe,ssmbt709-toyota-landcruiser-300-series-v6-4in-tail-pipe,/media/parts/mpi/ssmbt709-toyota-landcruiser-300-series-v6-4in-tail-pipe-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
pending,P1,same-supplier-category-title,MPI Automotive,mpi,mufflers-resonators,MBM564MF-DPFBACK,Landcruiser VDJ200 2016 V8 4.5L 3in Centre Muffler to Fit up to Standard DPF,mbm564mf-dpfback-landcruiser-vdj200-2016-v8-4-5l-3in-centre-muffler-to-fit-up-to-standard-dpf,839.05,MPI Automotive,SSMBM564MF-DPFBACK,Landcruiser VDJ200 2016 V8 4.5L 3in Centre Muffler to Fit up to Standard DPF,ssmbm564mf-dpfback-landcruiser-vdj200-2016-v8-4-5l-3in-centre-muffler-to-fit-up-to-standard-dpf,/media/parts/mpi/ssmbm564mf-dpfback-landcruiser-vdj200-2016-v8-4-5l-3in-centre-muffler-to-fit-up-to-standard-dpf-remote-1.webp,"Exact title match, but SKU/material/coating variants may still need supplier approval.",Approve image reuse only if the donor image represents the same visible part; otherwise request supplier media.,,,
