priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUid,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,455.00,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,NISSAN PATROL Y61 GU 4.8L CAT ASSY USE WITH EH148,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,ESA_nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,https://exhaustsystemsaustralia.com.au/products/nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,200.00,holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,"HOLDEN COMMODORE VE UTE TWIN REAR 2 1/2"" J-PIPE KIT RHS WITH TYP083 TIP",holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,ESA_holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,https://exhaustsystemsaustralia.com.au/products/holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2706.99,CHEVH142-134-C,2010 Camaro 1 3/4in Headers With 3in Outlet (Silver Ceramic Coating),chevh142-134-c-2010-camaro-1-3-4in-headers-with-3in-outlet-silver-ceramic-coating,MPI_CHEVH142-134-C,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,2691.92,SSMBC722-E5-C,SILVERADO 1500 V8 6.2L CERAMIC COATED 3in CATS LH + RH OE E5,ssmbc722-e5-c-silverado-1500-v8-6-2l-ceramic-coated-3in-cats-lh-rh-oe-e5,MPI_SSMBC722-E5-C,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2684.18,SSMBM478MF-E4-EV,"VF HSV Incl GTS, Clubsport 3in Dual Rear Mufflers With OEM Electric Bimodal Valves",ssmbm478mf-e4-ev-vf-hsv-incl-gts-clubsport-3in-dual-rear-mufflers-with-oem-electric-bimodal-valves,MPI_SSMBM478MF-E4-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2627.63,SSMBM478MF-E3-VBM,VE Sedan V8 6.2L E3 HSV 3in Dual Rear Mufflers Fitted With OEM VACUUM Bimodal Valves,ssmbm478mf-e3-vbm-ve-sedan-v8-6-2l-e3-hsv-3in-dual-rear-mufflers-fitted-with-oem-vacuum-bimodal-valves,MPI_SSMBM478MF-E3-VBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2483.25,FX-720HPC-S,SILVERADO 1500 V8 6.2L 1 7/8in Ceramic Coated Extractors with 3in outlets - Ceramic Coated (Silver),fx-720hpc-s-silverado-1500-v8-6-2l-1-7-8in-ceramic-coated-extractors-with-3in-outlets-ceramic-coated-silver,MPI_FX-720HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2437.28,SSMBM644MF-BM,Ford Mustang V8 3in Dual Rear Mufflers With 4in Quad Tips & Electric Bimodals,ssmbm644mf-bm-ford-mustang-v8-3in-dual-rear-mufflers-with-4in-quad-tips-and-electric-bimodals,MPI_SSMBM644MF-BM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2345.75,FX-610DFSS-HPC-S,"Landcruiser FZJ80 4.5L1FZE DOHC Eng, 1 3/4"" Primary, 2 1/2"" Outlet Direct Fit Extractor With Flex",fx-610dfss-hpc-s-landcruiser-fzj80-4-5l1fze-dohc-eng-1-3-4-primary-2-1-2-outlet-direct-fit-extractor-with-flex,MPI_FX-610DFSS-HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217LHDHPC-S,Ford Mustang 289 - 302 Windsor Interference 1964 on LHD (Not Mech Clutch) - Ceramic Coated (Silver),fx-217lhdhpc-s-ford-mustang-289-302-windsor-interference-1964-on-lhd-not-mech-clutch-ceramic-coated-silver,MPI_FX-217LHDHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217RHDHPC-S,"Ford Mustang 289 - 302 Windsor Inter 1964 on, RHD. NOT MECHANICAL CLUTCH - Ceramic Coated (Silver)",fx-217rhdhpc-s-ford-mustang-289-302-windsor-inter-1964-on-rhd-not-mechanical-clutch-ceramic-coated-silver,MPI_FX-217RHDHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2252.91,FX-211HPC-B,"Ford BA - BF Falcon V8 BOSS 4-1, 1 7/8in Primary 3in Outlet Extractor - Black Ceramic Coated",fx-211hpc-b-ford-ba-bf-falcon-v8-boss-4-1-1-7-8in-primary-3in-outlet-extractor-black-ceramic-coated,MPI_FX-211HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128SR-VFHSV-EV,VF HSV Sedan 2.5in Rear Mufflers (pair) with Electric Bimodal Valves,hols128sr-vfhsv-ev-vf-hsv-sedan-2-5in-rear-mufflers-pair-with-electric-bimodal-valves,MPI_HOLS128SR-VFHSV-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128UR-3-EV,VE VF Ute 3in Rear Mufflers (pair) with Electric Valves,hols128ur-3-ev-ve-vf-ute-3in-rear-mufflers-pair-with-electric-valves,MPI_HOLS128UR-3-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
