priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2706.99,CHEVH142-134-C,MPI_CHEVH142-134-C,CHEVH142-134-C.png,MPI_CHEVH142-134-C.png,2010 Camaro 1 3/4in Headers With 3in Outlet (Silver Ceramic Coating),chevh142-134-c-2010-camaro-1-3-4in-headers-with-3in-outlet-silver-ceramic-coating,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,2691.92,SSMBC722-E5-C,MPI_SSMBC722-E5-C,SSMBC722-E5-C.png,MPI_SSMBC722-E5-C.png,SILVERADO 1500 V8 6.2L CERAMIC COATED 3in CATS LH + RH OE E5,ssmbc722-e5-c-silverado-1500-v8-6-2l-ceramic-coated-3in-cats-lh-rh-oe-e5,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2684.18,SSMBM478MF-E4-EV,MPI_SSMBM478MF-E4-EV,SSMBM478MF-E4-EV.png,MPI_SSMBM478MF-E4-EV.png,"VF HSV Incl GTS, Clubsport 3in Dual Rear Mufflers With OEM Electric Bimodal Valves",ssmbm478mf-e4-ev-vf-hsv-incl-gts-clubsport-3in-dual-rear-mufflers-with-oem-electric-bimodal-valves,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2627.63,SSMBM478MF-E3-VBM,MPI_SSMBM478MF-E3-VBM,SSMBM478MF-E3-VBM.png,MPI_SSMBM478MF-E3-VBM.png,VE Sedan V8 6.2L E3 HSV 3in Dual Rear Mufflers Fitted With OEM VACUUM Bimodal Valves,ssmbm478mf-e3-vbm-ve-sedan-v8-6-2l-e3-hsv-3in-dual-rear-mufflers-fitted-with-oem-vacuum-bimodal-valves,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2483.25,FX-720HPC-S,MPI_FX-720HPC-S,FX-720HPC-S.png,MPI_FX-720HPC-S.png,SILVERADO 1500 V8 6.2L 1 7/8in Ceramic Coated Extractors with 3in outlets - Ceramic Coated (Silver),fx-720hpc-s-silverado-1500-v8-6-2l-1-7-8in-ceramic-coated-extractors-with-3in-outlets-ceramic-coated-silver,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2437.28,SSMBM644MF-BM,MPI_SSMBM644MF-BM,SSMBM644MF-BM.png,MPI_SSMBM644MF-BM.png,Ford Mustang V8 3in Dual Rear Mufflers With 4in Quad Tips & Electric Bimodals,ssmbm644mf-bm-ford-mustang-v8-3in-dual-rear-mufflers-with-4in-quad-tips-and-electric-bimodals,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2345.75,FX-610DFSS-HPC-S,MPI_FX-610DFSS-HPC-S,FX-610DFSS-HPC-S.png,MPI_FX-610DFSS-HPC-S.png,"Landcruiser FZJ80 4.5L1FZE DOHC Eng, 1 3/4"" Primary, 2 1/2"" Outlet Direct Fit Extractor With Flex",fx-610dfss-hpc-s-landcruiser-fzj80-4-5l1fze-dohc-eng-1-3-4-primary-2-1-2-outlet-direct-fit-extractor-with-flex,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217LHDHPC-S,MPI_FX-217LHDHPC-S,FX-217LHDHPC-S.png,MPI_FX-217LHDHPC-S.png,Ford Mustang 289 - 302 Windsor Interference 1964 on LHD (Not Mech Clutch) - Ceramic Coated (Silver),fx-217lhdhpc-s-ford-mustang-289-302-windsor-interference-1964-on-lhd-not-mech-clutch-ceramic-coated-silver,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217RHDHPC-S,MPI_FX-217RHDHPC-S,FX-217RHDHPC-S.png,MPI_FX-217RHDHPC-S.png,"Ford Mustang 289 - 302 Windsor Inter 1964 on, RHD. NOT MECHANICAL CLUTCH - Ceramic Coated (Silver)",fx-217rhdhpc-s-ford-mustang-289-302-windsor-inter-1964-on-rhd-not-mechanical-clutch-ceramic-coated-silver,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2252.91,FX-211HPC-B,MPI_FX-211HPC-B,FX-211HPC-B.png,MPI_FX-211HPC-B.png,"Ford BA - BF Falcon V8 BOSS 4-1, 1 7/8in Primary 3in Outlet Extractor - Black Ceramic Coated",fx-211hpc-b-ford-ba-bf-falcon-v8-boss-4-1-1-7-8in-primary-3in-outlet-extractor-black-ceramic-coated,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
