priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,sourceUid,suggestedFilenameSku,suggestedFilenameSourceUid,title,slug,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,SWD,swd,extractors-headers,rich,2849.00,EM-VF73GTS-EBS,SWD_EM-VF73GTS-EBS,EM-VF73GTS-EBS.png,SWD_EM-VF73GTS-EBS.png,HOLDEN HSV GTS VF 2014 STAINLESS HEADERS METALLIC CATS & MILD DUAL 3',em-vf73gts-ebs-holden-hsv-gts-vf-2014-stainless-headers-metallic-cats-and-mild-dual-3,https://swd.com.au/products/holden-hsv-gts-vf-2014-stainless-headers-metallic-cats-mild-dual-3-cat-back-system-y,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,2269.00,ES-VE07VMK-CBS,SWD_ES-VE07VMK-CBS,ES-VE07VMK-CBS.png,SWD_ES-VE07VMK-CBS.png,HOLDEN VE SS/HSV SEDAN TWIN 2.5' CAT-BACK SYSTEM WITH VAREX REAR MUFFL,es-ve07vmk-cbs-holden-ve-ss-hsv-sedan-twin-2-5-cat-back-system-with-varex-rear-muffl,https://swd.com.au/products/holden-ve-ss-hsv-sedan-twin-2-5-cat-back-system-with-varex-rear-muffler,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,2135.00,EM-FG24VMK-TBS,SWD_EM-FG24VMK-TBS,EM-FG24VMK-TBS.png,SWD_EM-FG24VMK-TBS.png,"FORD FG XR6 TURBO,FPV F6 SEDANMILD STEEL TURBO-BACK SYSTEM WITH TWIN 2",em-fg24vmk-tbs-ford-fg-xr6-turbo-fpv-f6-sedanmild-steel-turbo-back-system-with-twin-2,https://swd.com.au/products/ford-fg-xr6-turbo-fpv-f6-sedanmild-steel-turbo-back-system-with-twin-2-5-cat-back-and-qu,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,extractors-headers,rich,2099.00,EM-VE0758,SWD_EM-VE0758,EM-VE0758.png,SWD_EM-VE0758.png,"HOLDEN VE/VF SS SED/WAG 2006+ HEADERS 1-5/8"" 2 1/2"" METAL CATS TWIN 2",em-ve0758-holden-ve-vf-ss-sed-wag-2006-headers-1-5-8-2-1-2-metal-cats-twin-2,https://swd.com.au/products/holden-ve-vf-ss-sed-wag-2006-headers-1-5-8-2-1-2-metal-cats-twin-2-1-2-ebs-m-s,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,1889.00,ES-VF72VMK-CBS,SWD_ES-VF72VMK-CBS,ES-VF72VMK-CBS.png,SWD_ES-VF72VMK-CBS.png,"COMMODORE VE/VF TWIN 21/2""' CAT-BACK SLIP JOINT SYSTEM VAREXREARS (NO",es-vf72vmk-cbs-commodore-ve-vf-twin-21-2-cat-back-slip-joint-system-varexrears-no,https://swd.com.au/products/commodore-ve-vf-twin-21-2-cat-back-slip-joint-system-varexrears-no-tips,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,1769.00,EM-VE31VMK-OECBS,SWD_EM-VE31VMK-OECBS,EM-VE31VMK-OECBS.png,SWD_EM-VE31VMK-OECBS.png,"XForce Performance Exhaust System for Holden Commodore (09/2007 - on),",em-ve31vmk-oecbs-xforce-performance-exhaust-system-for-holden-commodore-09-2007-on,https://swd.com.au/products/xforce-performance-mild-steel-to-suit-holden-commodore-01-2007-on-hsv-maloo-r8-10-2007-2009,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,1685.00,EM-FGT02VMK-CBS,SWD_EM-FGT02VMK-CBS,EM-FGT02VMK-CBS.png,SWD_EM-FGT02VMK-CBS.png,FORD FALCON BF GT VAREX QUAD SYSTEM,em-fgt02vmk-cbs-ford-falcon-bf-gt-varex-quad-system,https://swd.com.au/products/ford-falcon-bf-gt-varex-quad-system,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,1669.00,EM-VE30VMK-CBS,SWD_EM-VE30VMK-CBS,EM-VE30VMK-CBS.png,SWD_EM-VE30VMK-CBS.png,CAT BACK SYSTEM,em-ve30vmk-cbs-cat-back-system,https://swd.com.au/products/cat-back-system-9,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,extractors-headers,rich,1519.00,EM-FG1058BVMK,SWD_EM-FG1058BVMK,EM-FG1058BVMK.png,SWD_EM-FG1058BVMK.png,"FORD FALCON XR6 (N/A) SEDAN HEADERS METALLIC CATS & 2.5"" CAT-BACK SYST",em-fg1058bvmk-ford-falcon-xr6-n-a-sedan-headers-metallic-cats-and-2-5-cat-back-syst,https://swd.com.au/products/ford-falcon-xr6-n-a-sedan-headers-metallic-cats-2-5-cat-back-system,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,1495.00,EM-F6-03-B-TBS,SWD_EM-F6-03-B-TBS,EM-F6-03-B-TBS.png,SWD_EM-F6-03-B-TBS.png,"XR6 TURBO SEDAN TURBO-BACK WITH 4"" D/PIPE 3.5"" MET-CAT AND TWIN 2.5 CA",em-f6-03-b-tbs-xr6-turbo-sedan-turbo-back-with-4-d-pipe-3-5-met-cat-and-twin-2-5-ca,https://swd.com.au/products/xr6-turbo-sedan-turbo-back-with-4-d-pipe-3-5-met-cat-and-twin-2-5-cat-back,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,1099.00,EM-SW15VMK5XFCBS,SWD_EM-SW15VMK5XFCBS,EM-SW15VMK5XFCBS.png,SWD_EM-SW15VMK5XFCBS.png,SUBARU FORESTER 99-08 GT/XT CAT-BACK OVAL TWIN TIP VAREX (SUIT XFORCE,em-sw15vmk5xfcbs-subaru-forester-99-08-gt-xt-cat-back-oval-twin-tip-varex-suit-xforce,https://swd.com.au/products/subaru-forester-99-08-gt-xt-cat-back-oval-twin-tip-varex-suit-xforce-dump-cat-only,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,exhaust-pipes-tips,rich,1049.00,EM-SW07-MP02-TBS,SWD_EM-SW07-MP02-TBS,EM-SW07-MP02-TBS.png,SWD_EM-SW07-MP02-TBS.png,SUBARU WRX/STI 94-07 TURBO BACK SINGLE OUTLET 4.5' TIP MILD STEEL,em-sw07-mp02-tbs-subaru-wrx-sti-94-07-turbo-back-single-outlet-4-5-tip-mild-steel,https://swd.com.au/products/subaru-wrx-sti-94-07-turbo-back-single-outlet-4-5-tip-mild-steel,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,extractors-headers,rich,985.00,H2-HF02BKIT_FG-U,SWD_H2-HF02BKIT_FG-U,H2-HF02BKIT_FG-U.png,SWD_H2-HF02BKIT_FG-U.png,XForce Header for Ford Falcon (02/2008 - 12/2014),h2-hf02bkit-fg-u-xforce-header-for-ford-falcon-02-2008-12-2014,https://swd.com.au/products/xforce-header-for-ford-falcon-02-2008-12-2014,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,SWD,swd,complete-exhaust-systems,rich,929.00,EM-HV09VMK-CBS,SWD_EM-HV09VMK-CBS,EM-HV09VMK-CBS.png,SWD_EM-HV09VMK-CBS.png,HOLDEN COM'DORE VT-VZ SS UTE TWIN 3' M/S CAT-BACK WITH VAREXREAR MUFFL,em-hv09vmk-cbs-holden-com-dore-vt-vz-ss-ute-twin-3-m-s-cat-back-with-varexrear-muffl,https://swd.com.au/products/holden-comdore-vt-vz-ss-ute-twin-3-m-s-cat-back-with-varexrear-muffler,https://cdn.shopify.com/s/files/1/0516/3774/7893/files/swd-favicon-logo_fc883350-22b9-4fa1-89bc-329c19491513.png,No matched ZIP image candidate or usable remote image URL
